id,Item,Parent,Description,WBS,Team,Manager,Product Owner,Service/SW/HW,Package List,LDM-230,LDM-148,LDM-129
COADPIPE,Coadd and Diff,DRP,Image coaddition and differencing,1.02C.04.04,DRP,John Swinbank,Jim Bosch,SW,pipe_drivers,,,
COADPROC,Coadd Processing,DRP,Coadd processing,1.02C.04.05,DRP,John Swinbank,Jim Bosch,SW,pipe_drivers,,,
OVERLAP,Overlap Resolution,DRP,Overlap resolution,1.02C.04.05,DRP,John Swinbank,Jim Bosch,SW,,,,
MULTIFIT,Object Char,DRP,Multi-epoch object characterization,1.02C.04.06,DRP,John Swinbank,Jim Bosch,SW,,,,
DRPPOST,DRP Postprocessing,DRP,DRP Postprocessing,1.02C.04.06,DRP,John Swinbank,Jim Bosch,SW,,,,
DRQC,DR Quality Control,DR,DR QC measurement generators,1.02C.04.07,DRP,John Swinbank,Jim Bosch,SW,validate_drp/verify_metrics/ci_hsc,,,
SCIALG,Science Algorithms,DMSYS,Common science algorithmic components,Multiple,Multiple,John Swinbank,Jim Bosch,SW,,,,
REFCAT,Reference Catalogs,SCIALG,Reference catalogs,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,meas_algorithms,,,
ISR,ISR,SCIALG,ISR,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,pipe_tasks/ip_isr,,,
ARTFDET,Artifact Detection,SCIALG,Artifact detection,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,meas_algorithms,,,
ARTFINTP,Artifact Interp,SCIALG,Artifact interpolation,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,,,,
SRCDET,Source Detection,SCIALG,Source detection,1.02C.04.05,DRP,John Swinbank,Jim Bosch,SW,,,,
DEBLEND,Deblending,SCIALG,Deblending,1.02C.04.05,DRP,John Swinbank,Jim Bosch,SW,meas_deblender,,,
MEASURE,Measurement,SCIALG,Measurement,1.02C.04.06,DRP,John Swinbank,Jim Bosch,SW,meas_base/meas_algorithms/meas_extensions_*/meas_modelfit,,,
SPATMOD,Spatial Models,SCIALG,Spatial models,1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,afw,,,
BKGDEST,Background Estim,SCIALG,Background estimation,1.02C.04.03,DRP,John Swinbank,Jim Bosch,SW,meas_algorithms,,,
BKGDREF,Background Ref,SCIALG,Background reference,1.02C.04.03,DRP,John Swinbank,Jim Bosch,SW,,,,
PSFESTSM,PSF Estim Small,SCIALG,PSF estimation (1 CCD),1.02C.03.01,AP,John Swinbank,Eric Bellm,SW,meas_algorithms,,,
PSFESTLG,PSF Estim Large,SCIALG,PSF estimation (visit),1.02C.04.03,DRP,John Swinbank,Jim Bosch,SW,,,,
APCORR,Aperture Corr,SCIALG,Aperture correction,1.02C.04.06,DRP,John Swinbank,Jim Bosch,SW,,,,
ASTROM,Astrometric Fit,SCIALG,Astrometric fitting,1.02C.03.07,AP,John Swinbank,Eric Bellm,SW,jointcal/meas_astrom/meas_mosaic,,,
PHOTOM,Photometric Fit,SCIALG,Photometric fitting,1.02C.03.07,AP,John Swinbank,Eric Bellm,SW,jointcal/meas_mosaic,,,
TEMPLATE,Template Storage,SCIALG,Difference template storage/retrieval,1.02C.03.04,AP,John Swinbank,Eric Bellm,SW,,,,
PSFMATCH,PSF Matching,SCIALG,PSF matching,1.02C.04.04,DRP,John Swinbank,Jim Bosch,SW,,,,
IMCOADD,Image Coaddition,SCIALG,Image coaddition,1.02C.04.04,DRP,John Swinbank,Jim Bosch,SW,coadd_utils/coadd_chisquared,,,
DCRTMPL,DCR Template Gen,SCIALG,DCR-corrected template generation,1.02C.03.04,AP,John Swinbank,Eric Bellm,SW,,,,
DECORR,Img Decorrelation,SCIALG,Image decorrelation,1.02C.03.04,AP,John Swinbank,Eric Bellm,SW,ip_diffim,,,
STARGAL,Star/Galaxy Sep,SCIALG,Star/galaxy classification,1.02C.04.06,DRP,John Swinbank,Jim Bosch,SW,,,,
VRBLTY,Variability Char,SCIALG,Variability characterization,1.02C.03.04,AP,John Swinbank,Eric Bellm,SW,,,,
PRPRMOT,Proper Motion,SCIALG,Proper motion and parallax,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,,,,
REFMATCH,Reference Match,SCIALG,Matching to reference catalogs,1.02C.03.02,AP,John Swinbank,Eric Bellm,SW,,,,
DASSOC,DIAObj Association,SCIALG,DIAObject association,1.02C.03.02,AP,John Swinbank,Eric Bellm,SW,,,,
ASSOC,Association/Match,SCIALG,Association and matching,1.02C.04.06,DRP,John Swinbank,Jim Bosch,SW,,,,
RAWCAL,Raw Meas Cal,SCIALG,Raw measurement calibration,,DRP,John Swinbank,Jim Bosch,SW,,,,
ORBEP,Orbit/Ephemeris,SCIALG,Orbit tools,Multiple,AP,John Swinbank,Eric Bellm,SW,,,,
EPHEM,Ephemeris Calc,ORBEP,Ephemeris calculation,1.02C.03.06,AP,John Swinbank,Eric Bellm,SW,mops_night,,,
TRACKLET,Tracklet Gen,ORBEP,Tracklet generation,1.02C.03.06,AP,John Swinbank,Eric Bellm,SW,mops_daymops,,,
ATTRIB,Attribution/Precov,ORBEP,Attribution and precovery,1.02C.03.06,AP,John Swinbank,Eric Bellm,SW,mops_daymops,,,
ORBFIT,Orbit Fitting,ORBEP,Orbit fitting,1.02C.03.06,AP,John Swinbank,Eric Bellm,SW,,,,
ORBMERGE,Orbit Merging,ORBEP,Orbit merging,1.02C.03.06,AP,John Swinbank,Eric Bellm,SW,,,,
SCIPRIM,Science Primitives,DMSYS,Science software primitives,Multiple,Multiple,John Swinbank,Jim Bosch,SW,,,,
GEOM,Geometry,SCIPRIM,Geometry primitives,Multiple,Multiple,John Swinbank,Jim Bosch,SW,,,,
CARTGEOM,Cartesian Geom,GEOM,Cartesian geometry,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,,,,
SPHGEOM,Spherical Geom,GEOM,Spherical geometry,1.02C.06.04.03,DAX,Fritz Mueller,,SW,sphgeom/skypix/skymap/geom/afw,,,
COORD,Coord Transforms,GEOM,Coordinate transformations,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw/astshim,,,
IMAGE,Images,SCIPRIM,Images,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
PROPSET,Property/Metadata,SCIPRIM,Multi-type associative containers,1.02C.06.02.01,DAX,Fritz Mueller,,SW,daf_base,,,
TABLE,Tables,SCIPRIM,Tables,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
FOOTPRNT,Footprints,SCIPRIM,Footprints,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
STATS,Basic Statistics,SCIPRIM,Basic statistics,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
CHROM,Chromaticity Utils,SCIPRIM,Chromaticity utilities,1.02C.03.05,AP,John Swinbank,Eric Bellm,SW,afw,,,
PHOTPRIM,PhotoCal Repr,SCIPRIM,Photometric calibration representation,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
CONVOL,Convolution,SCIPRIM,Convolution kernels,1.02C.04.01,DRP,John Swinbank,Jim Bosch,SW,afw,,,
